86,47,22,145,240,124,85
92,45,20,155,240,131,86
99,44,20,145,251,124,86
85,43,19,154,232,122,82
76,45,18,141,206,115,77
73,48,18,135,190,112,75
68,46,18,136,183,107,73
67,43,17,145,169,104,71
72,45,18,159,204,99,76
91,46,20,142,247,116,84
84,54,20,132,260,111,84
74,56,22,141,231,114,83
69,52,25,144,239,108,83
62,54,26,131,195,107,79
61,61,26,124,189,106,79
60,67,26,115,177,103,78
61,57,24,92,170,96,71
62,61,25,88,193,91,73
62,60,25,92,217,93,75
60,61,27,112,252,88,79
59,72,27,122,269,84,83
47,80,28,145,263,72,81
49,87,27,148,272,72,83
45,83,27,133,297,91,84
44,82,28,114,302,89,82
47,83,32,124,318,81,86
38,85,31,130,337,74,83
33,86,30,152,288,73,80
Done
