77,45,18,145,204,112,77
63,59,25,117,197,102,78
43,84,29,133,296,79,83
80,45,19,144,209,117,79
66,59,25,123,204,105,80
48,81,28,129,290,81,83
83,46,19,144,220,121,81
70,58,24,131,212,108,81
51,78,28,127,279,83,83
78,51,21,146,235,115,83
74,56,23,137,219,109,82
54,74,27,123,262,85,82
72,57,23,149,254,108,85
74,51,21,142,220,109,80
56,71,26,116,245,85,79
68,61,24,148,264,104,86
74,50,21,142,219,108,80
57,70,26,115,238,86,79
65,64,25,146,273,102,87
74,50,20,143,218,108,79
58,66,26,111,228,88,78
60,69,26,142,279,97,86
75,49,19,143,215,109,78
60,64,26,107,215,92,77
51,75,28,136,289,91,85
76,47,18,142,207,109,77
62,61,26,106,201,97,77
46,81,28,135,294,84,84
76,46,18,143,204,110,77
62,60,26,108,198,98,77
42,85,29,135,299,80,83
76,45,18,145,203,112,77
63,59,25,117,196,102,78
45,83,29,131,295,80,83
83,46,19,144,219,120,81
71,57,24,132,214,108,82
51,77,28,126,277,83,83
77,51,21,147,237,114,83
73,56,23,136,217,109,82
53,75,27,124,266,85,82
74,56,23,149,249,111,86
74,51,21,142,220,109,80
56,71,26,116,243,85,79
65,64,25,146,272,102,87
75,49,19,143,218,109,79
59,66,26,108,221,90,78
56,71,27,140,283,94,86
76,47,18,140,210,109,77
62,61,26,105,200,97,76
44,82,29,135,297,83,84
75,45,18,144,201,111,76
63,59,25,113,195,101,77
43,84,29,134,296,79,83
81,45,19,143,210,117,79
67,58,25,126,207,106,80
48,80,28,129,288,82,83
83,46,19,144,221,121,81
71,58,24,133,215,108,82
52,76,27,125,272,84,82
77,53,21,147,241,114,84
74,54,22,139,220,109,81
54,73,27,122,258,85,81
73,57,23,149,252,109,86
75,51,21,142,222,109,81
57,70,26,115,238,85,79
65,65,25,145,274,101,87
75,49,19,143,217,109,79
60,64,26,106,215,92,77
52,74,28,137,286,92,85
76,47,18,141,208,109,77
62,62,26,106,204,97,77
47,78,28,135,292,88,84
76,46,18,143,203,109,76
62,61,26,107,196,98,77
43,83,29,135,297,81,83
76,45,18,144,203,111,76
63,59,25,116,196,102,77
43,84,29,134,296,79,83
80,45,19,144,207,116,79
67,59,25,124,205,105,80
48,81,28,130,290,81,83
83,46,20,145,223,122,82
72,57,24,132,215,108,82
51,77,28,126,277,83,83
80,50,21,146,236,116,83
74,56,23,137,218,109,82
54,73,27,122,258,85,81
73,57,23,150,254,109,86
75,50,20,143,221,108,80
58,67,26,111,229,88,78
63,66,26,144,276,99,87
75,49,19,143,215,109,78
60,64,26,107,215,92,77
52,75,28,137,287,92,86
76,47,18,142,208,109,77
62,61,26,106,202,97,77
45,81,28,135,296,84,84
76,45,18,144,202,110,76
62,60,25,109,195,100,76
42,85,29,134,298,79,83
79,45,18,145,205,114,78
64,59,25,119,199,103,78
45,83,29,132,295,80,83
81,45,19,144,211,118,79
68,59,24,122,206,105,80
49,80,28,129,288,82,83
83,46,19,144,221,121,81
72,58,24,133,216,109,82
52,76,28,125,273,84,83
77,53,21,147,241,114,84
74,53,22,139,222,109,81
54,73,27,120,255,85,81
71,59,23,149,257,107,86
75,50,21,143,221,108,80
57,69,26,114,236,86,79
64,65,25,145,274,101,86
75,49,19,143,216,109,79
59,66,26,109,220,90,78
57,71,27,141,281,94,86
76,48,19,140,210,109,78
62,62,26,105,205,96,77
46,80,28,135,294,84,84
76,46,18,144,203,110,77
62,60,25,109,193,100,76
42,84,29,134,297,79,83
79,45,18,145,206,113,77
64,59,25,120,197,104,78
48,81,28,130,288,81,83
82,47,20,145,226,120,82
72,57,24,133,216,108,82
52,76,27,125,272,84,82
77,54,22,148,243,113,85
74,53,22,140,220,109,81
54,73,27,120,258,85,81
72,57,23,148,253,108,85
75,51,21,142,223,109,81
56,70,26,116,241,85,79
67,62,24,147,268,104,86
75,50,20,143,219,108,80
58,66,26,110,226,88,78
59,71,27,141,282,95,87
76,48,19,140,211,109,78
61,63,26,106,209,95,77
48,78,28,135,292,89,85
76,46,18,143,204,110,77
62,60,25,107,193,99,76
41,86,29,135,299,79,83
78,45,18,144,205,112,77
63,59,25,115,196,101,77
43,84,29,134,296,79,83
80,45,19,144,206,115,78
66,59,25,124,204,105,80
48,81,28,130,291,81,83
83,46,19,144,222,121,81
72,57,24,134,216,109,82
52,76,27,125,273,84,82
78,51,21,147,237,115,83
74,55,23,139,220,109,82
54,73,27,122,260,85,81
73,57,23,150,252,110,86
75,51,21,142,221,108,81
57,69,26,114,237,85,79
61,68,26,143,277,97,86
76,49,19,142,212,109,78
60,64,26,107,213,93,77
52,74,27,137,286,92,85
76,47,19,140,210,109,78
61,63,26,107,209,95,77
50,76,28,136,289,91,85
76,46,18,142,205,109,76
62,61,26,106,199,97,77
46,81,28,136,293,84,84
76,45,18,144,202,110,76
62,60,25,110,196,99,76
42,85,29,134,298,79,83
79,45,18,145,205,113,77
64,59,25,118,198,102,78
44,84,29,133,296,79,83
80,45,19,145,208,116,79
66,59,25,123,202,105,80
48,81,28,130,290,81,83
83,46,19,144,221,121,81
72,58,24,132,216,108,82
52,76,27,125,271,84,82
75,55,22,148,245,112,85
74,51,22,141,221,109,81
55,72,27,117,249,86,80
69,60,24,148,261,106,86
74,50,21,142,218,108,80
56,70,26,116,242,85,79
67,62,25,147,268,103,87
75,49,20,143,219,108,79
59,66,26,109,223,89,78
60,69,26,141,279,97,86
76,48,19,141,211,109,78
61,63,26,107,210,94,77
49,77,28,136,290,90,85
76,47,18,142,207,109,77
62,61,26,105,198,98,76
Done
